,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0
0,12250,4479.6783,5727.4031,5168.7121,51.9885,69.318,56.5833,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
1,12500,4445.0193,5441.4661,4927.7124,60.6533,77.9828,64.9177,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
2,12750,4176.4119,5164.194,4687.2431,69.318,86.6476,73.7828,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
3,13000,3743.1742,4886.9218,4438.1397,69.318,77.9828,74.0136,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
4,13250,3491.8963,4618.3144,4207.2643,77.9828,103.9771,92.4727,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
5,13500,3275.2774,4358.3718,3970.1124,95.3123,121.3066,104.6552,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
6,13750,3032.6642,4098.4291,3732.5815,103.9771,129.9713,116.2283,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
7,14000,3491.8963,4029.1111,3500.294,121.3066,147.3008,133.5052,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
8,14250,3249.2831,3370.5897,3262.326,129.9713,155.9656,144.8716,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
9,14500,3023.9995,3223.2889,3029.9094,147.3008,173.2951,161.7892,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
10,14750,2807.3806,2972.011,2801.9908,173.2951,190.6246,183.205,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
11,15000,2564.7675,2746.7273,2571.7499,190.6246,216.6189,202.2985,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
12,15250,2339.4839,2504.1142,2347.9952,207.9541,242.6131,227.878,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
13,15500,2122.865,2226.842,2123.4883,233.9484,268.6074,252.7053,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
14,15750,1897.5813,2096.8707,1904.8561,259.9426,294.6017,281.5609,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
15,16000,1706.9567,1906.2461,1692.7779,294.6017,329.2607,320.6637,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
16,16250,1507.6674,1611.6444,1489.1725,337.9254,381.2492,364.6495,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
17,16500,1308.378,1429.6846,1293.8971,389.914,433.2378,420.4515,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
18,16750,1109.0886,1230.3952,1121.3127,459.232,502.5558,495.633,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
19,17000,953.1231,1031.1058,969.592,537.2148,571.8738,594.815,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
20,17250,814.487,857.8107,832.6143,615.1976,684.5156,707.1716,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
21,17500,684.5156,727.8394,701.7367,727.8394,797.1575,825.6281,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
22,17750,563.2091,615.1976,594.5758,771.1632,961.7878,967.8018,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
23,18000,467.8968,511.2205,501.2885,961.7878,1109.0886,1122.0178,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
24,18250,381.2492,424.573,419.2461,1091.7591,1273.719,1291.1405,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
25,18500,311.9312,355.255,348.2809,1325.7075,1473.0084,1469.5097,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
26,18750,259.9426,294.6017,287.491,1507.6674,1672.2977,1658.0541,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
27,19000,225.2836,251.2779,244.3293,1568.3207,1966.8994,1864.2267,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
28,19250,190.6246,216.6189,207.1821,1628.9739,2096.8707,2076.4139,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
29,19500,164.6303,190.6246,183.3261,2148.8592,2417.4666,2301.8922,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
30,19750,138.6361,164.6303,157.7748,2261.5011,2608.0913,2525.6752,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
31,20000,121.3066,147.3008,140.9445,2564.7675,2833.3749,2758.1792,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
32,20250,112.6418,129.9713,126.5299,2816.0454,3864.4807,2993.0989,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
33,20500,95.3123,121.3066,113.5885,3006.67,3301.2717,3229.4918,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
34,20750,86.6476,112.6418,103.9556,3275.2774,4497.0078,3469.1932,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
35,21000,77.9828,103.9771,94.5935,3431.243,3725.8446,3709.1653,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
36,21250,69.318,95.3123,86.319,3699.8504,3977.1225,3950.0223,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
37,21500,69.318,86.6476,80.6999,3933.7988,5562.7727,4190.7729,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
38,21750,60.6533,77.9828,72.1058,4150.4176,5926.6924,4431.4541,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
39,22000,51.9885,69.318,67.1319,4401.6955,6238.6236,4679.0412,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
40,22250,51.9885,69.318,60.9205,4644.3087,6619.8728,4922.164,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
41,22500,43.3238,60.6533,54.6337,4886.9218,7018.4516,5165.2116,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51
42,22750,43.3238,60.6533,52.9335,5042.8874,7434.3598,5412.8456,2020-12-04 08:00:00,2020-11-26 11:36:53.561Z,0,0,17329.51

